load_scale,theta,policy,goodput_mbps,its_fraction,claimed_its_fraction,mislabeled_fraction,mislabeled_sd
1.0,0.25,aos_tqd,6.241135054320146,0.992660560779169,0.2499207673036133,0.0,0.0
1.0,0.25,fungible,6.206775427039493,0.9863844588978796,0.251624665695075,0.015688946684268616,0.0036397353435112375
1.0,0.5,aos_tqd,6.240597088693166,0.9934510208832187,0.4998702399837115,0.0,0.0
1.0,0.5,fungible,6.209263677201286,0.9846479461842421,0.5030183904317808,0.0193691161891082,0.005547460121902471
1.0,0.75,aos_tqd,6.239783509735802,0.995414075350934,0.7498920909247844,0.0,0.0
1.0,0.75,fungible,6.219418319802017,0.9793907450562042,0.7531818595646863,0.02394078053179578,0.007521669542264876
2.0,0.25,aos_tqd,12.474763177119051,0.8713763268536923,0.2494481408664023,0.0,0.0
2.0,0.25,fungible,10.921697022208715,0.8768667450240848,0.28611064151436033,0.13896058027023298,0.009697406371959911
2.0,0.5,aos_tqd,12.460358829219228,0.8778063374175149,0.49898646649406697,0.0,0.0
2.0,0.5,fungible,11.002590304855618,0.8439537250495629,0.567958430903912,0.21594528946046082,0.014898708790782861
2.0,0.75,aos_tqd,12.409769111881218,0.8989252928025822,0.748472128842733,0.0,0.0
2.0,0.75,fungible,11.264537701493772,0.7320853354563697,0.8318212285234864,0.31338881657842615,0.014953750363585703
3.0,0.25,aos_tqd,18.699875746395293,0.6513260817344774,0.2490576619995341,0.0,0.0
3.0,0.25,fungible,12.218163288484828,0.6989571882746685,0.38360253602475713,0.35396642895104663,0.005671525215899906
3.0,0.5,aos_tqd,18.60681270000937,0.6851581553491884,0.49688214772688066,0.0,0.0
3.0,0.5,fungible,12.90336609319445,0.6034035683370498,0.7262793237467988,0.4923856524506599,0.003688483049771369
3.0,0.75,aos_tqd,16.968514318892165,0.7773272130397493,0.7238581022612618,0.0,0.0
3.0,0.75,fungible,14.729283147143741,0.3979039838643124,0.9371307693279283,0.6360720590870452,0.0054124244483203625
