nodes,edges,classes,ms_per_slot,ms_weights,ms_manufacture,peak_mb
10,36,24,7.6883771146337185,0.17607399495318532,0.008783058729022741,1.6944961547851562
18,78,48,18.972755316644907,0.421244150493294,0.01707265619188547,3.01617431640625
34,186,96,56.077113413872816,1.2652453500777483,0.03860625438392162,7.229118347167969
64,432,192,224.31432604789734,4.459419206250459,0.08482889970764518,19.022865295410156
120,936,384,920.5654212157242,15.751267643645408,0.20323775243014097,25.65814971923828
