policy,scenario,seed,theta,load_scale,V_nu,budget,goodput_mbps,its_fraction,claimed_its_fraction,mislabeled_fraction,mean_aos,mean_delay,mean_virt,mean_phys,phys_slope,final_lyap,manufactured_units,capability_units,manufacture_utilization,qkd_units,qkd_expired_frac,unroutable
aos_tqd,nominal,0,0.0,1.0,0.0,781.25,24.22165532879819,0.5624546539658763,0.0,0.0,131.29340916697143,5.911086972690137,23982.129063149383,22239.970625292473,0.0009358786772354356,52412290.84514248,1960937.5,50625000.0,0.03873456790123457,8069043.770786265,0.6776294182600173,0
aos_tqd,nominal,1,0.0,1.0,0.0,781.25,24.20408163265306,0.5850665167697208,0.0,0.0,124.59125547863059,4.04474150629746,25266.957134252036,22230.46649537444,-0.0027293364463383545,55411240.15434558,1760156.25,50625000.0,0.03476851851851852,8038147.679626045,0.6940846188772212,0
aos_tqd,nominal,2,0.0,1.0,0.0,781.25,24.1125283446712,0.5275364703946208,0.0,0.0,142.25714805733892,12.102081231186434,30303.164198940558,27401.94337224549,0.6513703174794088,62710497.6577731,2016406.25,50625000.0,0.039830246913580246,7866110.612809359,0.665792565718103,0
aos_tqd,nominal,3,0.0,1.0,0.0,781.25,24.200113378684808,0.5536203705872708,0.0,0.0,133.94765487820203,5.107951917785488,24784.866031010883,22623.75292631694,-0.0014405329605270798,52351924.16370011,2020312.5,50625000.0,0.039907407407407405,7708619.022451131,0.6938616308319626,0
aos_tqd,nominal,4,0.0,1.0,0.0,781.25,24.268990929705218,0.5708062274442017,0.0,0.0,128.82522241128243,4.015469817540162,21839.123833673068,20434.12890292666,0.0012903412845456362,47847746.94712107,1985937.5,50625000.0,0.03922839506172839,8461147.899912776,0.7069150709840607,0
aos_tqd,nominal,5,0.0,1.0,0.0,781.25,24.20323129251701,0.5827799833702233,0.0,0.0,125.20171142889788,3.54323804206,23610.411963928833,21987.558452119458,-0.0016672301233394697,52846650.140242726,1774218.75,50625000.0,0.0350462962962963,8307400.655147573,0.6849482937195757,0
aos_tqd,nominal,6,0.0,1.0,0.0,781.25,24.112244897959183,0.5455635491606715,0.0,0.0,136.46870518691645,6.877742205729956,27644.476934967654,25320.078073259538,0.00040783703824550293,63255964.68566202,2072656.25,50625000.0,0.04094135802469136,8487731.8882254,0.6998971540322554,0
aos_tqd,nominal,7,0.0,1.0,0.0,781.25,24.25907029478458,0.585633164302573,0.0,0.0,124.46728168887951,6.531221692277437,24207.933902348264,21767.420086483326,-0.0012370309285653766,49809933.371097565,1826562.5,50625000.0,0.03608024691358025,8527060.05570553,0.7270388293831043,0
aos_tqd,nominal,8,0.0,1.0,0.0,781.25,24.25992063492064,0.547208169274089,0.0,0.0,136.09839609538568,4.91964915467045,22574.88844229449,20964.070410951575,0.0003770169886923283,48724846.50068258,1957812.5,50625000.0,0.03867283950617284,8155398.329886582,0.7179182107628447,0
aos_tqd,nominal,9,0.0,1.0,0.0,781.25,24.296768707482993,0.6108097387976994,0.0,0.0,116.91558455181894,3.047480197577858,20630.199319866624,19301.213180369752,0.000726994349709294,46729304.56519144,1565625.0,50625000.0,0.030925925925925926,8856943.888684418,0.6941108080314603,0
aos_tqd,nominal,0,0.25,1.0,0.0,781.25,23.67758080862806,0.6591348082903713,0.23298755380629219,0.0,102.43391031795905,11.442667887655295,35657.5361514761,33995.5825127334,0.02694417725899554,168975416.73901603,2015625.0,50625000.0,0.03981481481481482,8069043.770786265,0.6681419493145511,0
aos_tqd,nominal,1,0.25,1.0,0.0,781.25,23.785572562358276,0.6768356263145665,0.23622274788328737,0.0,97.13890037448986,4.125371233248632,34015.14848489436,30975.500049390703,0.06072341087209739,160738251.83257106,1775000.0,50625000.0,0.03506172839506173,8038147.679626045,0.6846100845491815,0
aos_tqd,nominal,2,0.25,1.0,0.0,781.25,23.696286848072564,0.613384489327217,0.23477132313801954,0.0,116.38318975023888,11.812878036733457,39139.35007195237,36014.796969830844,0.6078230554336937,167989391.27168563,2180468.75,50625000.0,0.043070987654320984,7866110.612809359,0.6573259337175554,0
aos_tqd,nominal,3,0.25,1.0,0.0,781.25,23.770195578231295,0.648088360237893,0.23513839824710459,0.0,105.6648922374572,6.31584672960149,34914.85038342586,32009.375831936137,0.12766891559402277,159651689.76675528,2135156.25,50625000.0,0.04217592592592593,7708619.022451131,0.6834796194188785,0
aos_tqd,nominal,4,0.25,1.0,0.0,781.25,23.835459183673468,0.6625283173685806,0.2342359215854159,0.0,101.44753542860829,4.194475333633493,30858.725448048113,29388.532498064455,0.011148464119516852,156597734.56361422,2003906.25,50625000.0,0.03958333333333333,8461147.899912776,0.6978065980586858,0
aos_tqd,nominal,5,0.25,1.0,0.0,781.25,23.79903628117914,0.6715160249157367,0.235448947750795,0.0,98.81065444727875,3.699577697264405,32698.57046174167,30923.43528122767,-0.0012113048372947533,158864886.01421657,1821093.75,50625000.0,0.035972222222222225,8307400.655147573,0.6753519338699527,0
aos_tqd,nominal,6,0.25,1.0,0.0,781.25,23.680697278911566,0.6292529220604341,0.23446505197766485,0.0,111.55626409576732,7.188303704730218,36599.29129018314,34277.163080243736,0.03385286096585536,171427365.01747948,2176562.5,50625000.0,0.042993827160493825,8487731.8882254,0.6920643456479055,0
aos_tqd,nominal,7,0.25,1.0,0.0,781.25,23.829365079365083,0.6763946711074105,0.23570833828952065,0.0,97.30837023431341,5.695760793759237,33395.81007088172,30588.909546777886,0.05414826406383394,157592964.41410372,1898437.5,50625000.0,0.0375,8527060.05570553,0.7194911644179094,0
aos_tqd,nominal,8,0.25,1.0,0.0,781.25,23.767186317981036,0.6470762097475193,0.23415446276675306,0.0,107.10878165653972,5.393384517809481,32125.661366157754,30325.776209404277,1.8732080717824338,163423631.5511628,1998437.5,50625000.0,0.03947530864197531,8155398.329886582,0.7083863683199157,0
