phi,x_prior,y_prior,x_half,y_half,x_flex,y_flex
0.0,4.36000694055008,0.0,8.72001388110016,0.0,55.56000694055009,0.0
0.06544984694978735,4.360006940550079,0.2857699527821247,8.720013881100158,0.5715399055642494,55.56000694055009,3.6415952489223224
0.1308996938995747,4.36000694055008,0.5740058032217985,8.72001388110016,1.148011606443597,52.82473130515869,6.954507810707239
0.19634954084936207,4.36000694055008,0.8672593023365561,8.720013881100158,1.7345186046731118,49.861224842078656,9.918014273787279
0.2617993877991494,4.36000694055008,1.1682603387144836,8.72001388110016,2.3365206774289673,47.146399455681085,12.63283966018487
0.3272492347489368,4.36000694055008,1.4800229246436019,8.72001388110016,2.9600458492872037,44.629548728743416,15.149690387122511
0.39269908169872414,4.360006940550079,1.8059740068166676,8.720013881100158,3.6119480136333353,42.27030535300092,17.50893376286502
0.4581489286485115,4.360006940550079,2.1501174801970113,8.720013881100158,4.300234960394023,40.03577821267937,19.743460903186566
0.5235987755982988,4.36000694055008,2.5172511807952245,8.72001388110016,5.034502361590449,37.8985189805546,21.880720135311336
0.5890486225480862,4.36000694055008,2.913263498855442,8.72001388110016,5.826526997710884,35.83503454427874,23.944204571587193
0.6544984694978736,4.36000694055008,3.345550993259655,8.72001388110016,6.69110198651931,33.82466262467192,25.95457649119402
0.7199483164476609,4.36000694055008,3.82362346534748,8.72001388110016,7.64724693069496,31.848688725989966,27.93055038987597
0.7853981633974483,4.219232175315858,4.219232175315857,8.438464350631715,8.438464350631714,29.889619557932967,29.889619557932964
0.8508480103472357,3.700167309653736,4.219232175315858,7.400334619307471,8.438464350631714,27.93055038987597,31.848688725989966
0.916297857297023,3.237530716669034,4.219232175315858,6.475061433338067,8.438464350631714,25.95457649119402,33.82466262467192
0.9817477042468102,2.8192008079678312,4.219232175315857,5.6384016159356625,8.438464350631714,23.9442045715872,35.835034544278734
1.0471975511965976,2.435974832192141,4.219232175315857,4.871949664384282,8.438464350631714,21.880720135311343,37.8985189805546
1.1126473981463851,2.080695048621124,4.219232175315858,4.161390097242248,8.438464350631714,19.74346090318657,40.035778212679375
1.1780972450961724,1.7476631898167643,4.219232175315856,3.495326379633529,8.438464350631714,17.50893376286502,42.270305353000914
1.2435470920459597,1.4322363310443538,4.219232175315857,2.8644726620887075,8.438464350631714,15.149690387122519,44.629548728743416
1.3089969389957472,1.130539854055293,4.219232175315857,2.261079708110586,8.438464350631714,12.632839660184867,47.14639945568108
1.3744467859455345,0.8392574605165014,4.219232175315856,1.678514921033003,8.438464350631714,9.918014273787282,49.86122484207865
1.4398966328953218,0.5554724537814346,4.219232175315859,1.1109449075628688,8.438464350631714,6.954507810707246,52.82473130515869
1.505346479845109,0.27654308719167275,4.219232175315862,0.5530861743833448,8.438464350631714,3.6323683833318805,55.419232175315855
1.5707963267948966,2.583534589180044e-16,4.219232175315857,5.167069178360088e-16,8.438464350631714,3.3934492647352284e-15,55.419232175315855
