t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
239,196200000.0,1,0.0,4687584.594641917,11065600000,77.33966372500802,359.0,1
240,196200000.0,1,0.0,4688532.553425947,11114400000,77.62402972513783,360.0,1
241,196200000.0,1,0.0,4689480.512209977,11163200000,77.90841900968996,361.0,1
242,196200000.0,1,0.0,4690428.470994007,11212000000,78.19283096851458,362.0,1
243,196200000.0,1,0.0,4691376.429778036,11260800000,78.47726501287698,363.0,1
244,196200000.0,1,0.0,4692324.388562066,11309600000,78.76172057451808,364.0,1
245,196200000.0,1,0.0,4693272.347346094,11358400000,79.04619710476459,365.0,1
246,196200000.0,1,0.0,4694220.306130125,11407200000,79.33069407368501,366.0,1
247,196200000.0,1,0.0,4695168.264914155,11456000000,79.61521096928958,367.0,1
248,196200000.0,1,0.0,4696116.234589599,11504800000,79.89974729377579,368.0,1
249,196200000.0,1,0.0,4697064.204265045,11553600000,80.18430257185678,369.0,1
250,196200000.0,1,0.0,4698012.173940489,11602400000,80.4688763409613,370.0,1
251,196200000.0,1,0.0,4698960.143615933,11651200000,80.75346815364404,371.0,1
252,196200000.0,1,0.0,4699908.113291379,11700000000,81.0380775769671,372.0,1
253,196200000.0,1,0.0,4700856.082966823,11748800000,81.32270419191165,373.0,1
254,196200000.0,1,0.0,4701804.052642267,11797600000,81.60734759281836,374.0,1
255,196200000.0,1,0.0,4702752.022317712,11846400000,81.89200738685452,375.0,1
256,196200000.0,1,0.0,4703699.991993156,11895200000,82.1766831935067,376.0,1
257,196200000.0,1,0.0,4704647.961668601,11944000000,82.46137464409755,377.0,1
258,196200000.0,1,0.0,4705595.931344046,11992800000,82.74608138132511,378.0,1
259,196200000.0,1,0.0,4706543.901019491,12041600000,83.0308030588237,379.0,1
260,196200000.0,1,0.0,4707491.870694935,12090400000,83.31553934074505,380.0,1
261,196200000.0,1,0.0,4708439.840370379,12139200000,83.60028990135879,381.0,1
262,196200000.0,1,0.0,4709387.810045824,12188000000,83.88505442467098,382.0,1
263,196200000.0,1,0.0,4710335.779721269,12236800000,84.16983260405975,383.0,1
264,196200000.0,1,0.0,4711283.749396714,12285600000,84.45462414192767,384.0,1
265,196200000.0,1,0.0,4712231.719072158,12334400000,84.73942874936911,385.0,1
266,196200000.0,1,0.0,4713179.688747603,12383200000,85.02424614585269,386.0,1
267,196200000.0,1,0.0,4714127.6584230475,12432000000,85.30907605891731,387.0,1
268,196200000.0,1,0.0,4715075.628098492,12480800000,85.59391822388162,388.0,1
269,196200000.0,1,0.0,4715574.907273571,12529600000,85.878872160281,389.0,1
270,196200000.0,1,0.0,4715871.375084888,12578400000,86.1638817558438,390.0,1
271,196200000.0,1,0.0,4716167.842896204,12627200000,86.44890146748745,391.0,1
272,196200000.0,1,0.0,4716464.310707523,12676000000,86.73393107893432,392.0,1
273,196200000.0,1,0.0,4716760.77851884,12724800000,87.01897038002843,393.0,1
274,196200000.0,1,0.0,4717057.246330157,12773600000,87.30401916652032,394.0,1
275,196200000.0,1,0.0,4717352.928147842,12822400000,87.58907896750036,395.0,1
276,196200000.0,1,0.0,4717648.609965528,12871200000,87.87414781462799,396.0,1
277,196200000.0,1,0.0,4717944.291783214,12920000000,88.15922552163957,397.0,1
278,196200000.0,1,0.0,4718239.973600898,12968800000,88.44431190735031,398.0,1
279,196200000.0,1,0.0,4718535.655418584,13017600000,88.72940679548222,399.0,1
280,196200000.0,1,0.0,4718831.337236268,13066400000,89.01451001449922,400.0,1
281,196200000.0,1,0.0,4719127.019053955,13115200000,89.2996213974487,401.0,1
282,196200000.0,1,0.0,4719422.70087164,13164000000,89.58474078180949,402.0,1
283,196200000.0,1,0.0,4719718.382689325,13212800000,89.86986800934572,403.0,1
284,196200000.0,1,0.0,4720014.064507011,13261600000,90.15500292596666,404.0,1
285,196200000.0,1,0.0,4720309.746324696,13310400000,90.44014538159165,405.0,1
286,196200000.0,1,0.0,4720605.428142381,13359200000,90.7252952300207,406.0,1
287,196200000.0,1,0.0,4720901.109960067,13408000000,91.01045232880975,407.0,1
288,196200000.0,1,0.0,4721196.791777751,13456800000,91.29561653915087,408.0,1
289,196200000.0,1,0.0,4721492.473595437,13505600000,91.58078772575695,409.0,1
290,196200000.0,1,0.0,4721788.155413123,13554400000,91.86596575675075,410.0,1
291,196200000.0,1,0.0,4722209.409855356,13603200000,92.15092761548293,411.0,1
292,196200000.0,1,0.0,4722630.664297591,13652000000,92.43590274545033,412.0,1
293,196200000.0,1,0.0,4723051.918739825,13700800000,92.72089079860721,413.0,1
294,196200000.0,1,0.0,4723473.173182059,13749600000,93.0058914389726,414.0,1
295,196200000.0,1,0.0,4723894.427624292,13798400000,93.29090434211203,415.0,1
296,196200000.0,1,0.0,4724315.682066526,13847200000,93.57592919464575,416.0,1
297,196200000.0,1,0.0,4724736.93650876,13896000000,93.86096569378194,417.0,1
298,196200000.0,1,0.0,4725158.190950994,13944800000,94.14601354687314,418.0,1
299,196200000.0,1,0.0,4725579.445393228,13993600000,94.43107247099502,419.0,1
300,196200000.0,1,0.0,4726000.699835462,14042400000,94.716142192546,420.0,1
