t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
246,196200000.0,1,0.0,7106005.23270193,11567200000,79.10934542808987,366.0,1,1.3380011584e+20,1900000.0,3610000000000.0,1900000.0,6.690041892e+19,8577847.841617215,1.8044374883174896e-09,0,0,1,0.0,0.0,0
247,196200000.0,1,0.0,7132132.649948311,11616000000,79.39461597087053,367.0,1,1.34931456e+20,1900000.0,3610000000000.0,1900000.0,6.7466089e+19,8577847.841617215,1.8044374883174896e-09,0,0,1,0.0,0.0,0
248,196200000.0,1,0.0,7158522.184176744,11664800000,79.67989206920585,368.0,1,1.3606755904e+20,1900000.0,3610000000000.0,1900000.0,6.803414052e+19,8596757.963762369,1.2369127944111824e-09,0,0,1,0.0,0.0,0
249,196200000.0,1,0.0,7184911.212255316,11713600000,79.96517361248753,369.0,1,1.3720842496e+20,1900000.0,3610000000000.0,1900000.0,6.860457348e+19,8596757.963762369,1.2369127944111824e-09,0,0,1,0.0,0.0,0
250,196200000.0,1,0.0,7220093.142092623,11762400000,51.89318417482351,370.0,1,1.3835405376e+20,1900000.0,3610000000000.0,1900000.0,6.917738788e+19,8680299.066868177,1.4915713109076023e-09,0,0,1,0.0,0.0,0
251,196200000.0,1,0.0,7243295.424776808,11811200000,52.05980909492035,371.0,1,1.3950444544e+20,1900000.0,3610000000000.0,1900000.0,6.975258372e+19,8680299.066868177,1.4915713109076023e-09,0,0,1,0.0,0.0,0
252,196200000.0,1,0.0,7266497.482469749,11860000000,52.22645214425632,372.0,1,1.406596e+20,1900000.0,3610000000000.0,1900000.0,7.0330161e+19,8680299.066868177,1.4260876923799515e-09,0,0,1,0.0,0.0,0
253,196200000.0,1,0.0,7290077.989988375,11908800000,52.39310466662181,373.0,1,1.4181951744e+20,1900000.0,3610000000000.0,1900000.0,7.091011972e+19,8693931.090288205,1.0040821507573128e-09,0,0,1,0.0,0.0,0
254,196200000.0,1,0.0,7314605.733260051,11957600000,52.55974239042684,374.0,1,1.4298419776e+20,1900000.0,3610000000000.0,1900000.0,7.149245988e+19,8739408.498041969,1.6152625903487206e-09,0,0,1,0.0,0.0,0
255,196200000.0,1,0.0,7339133.273297969,12006400000,52.72639992027493,375.0,1,1.4415364096e+20,1900000.0,3610000000000.0,1900000.0,7.207718148e+19,8739408.498041969,1.6152625903487206e-09,0,0,1,0.0,0.0,0
