t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425672.7430555555,0,0.8678816811621574,0.9476988686844755,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.0,0.0,1,5,1,1.5601026095561774e+16,1.5601026095561776e+16,0
1,245000000.0,0,1796875.0,2351345.486111111,0,1.9210137071769111,2.1124243899047483,0,0.0,728125.0,192998046875.0,346875.0,19299804687500.0,7200000.0,0.0,1,6,1,1.5589178731719426e+16,1.5589178731719424e+16,0
2,245000000.0,0,1718750.0,2281358.5069444445,0,2.994112692211281,3.1629597325192615,0,0.0,718750.0,130585937500.0,190625.0,13058593750000.0,7200000.0,0.0,1,7,1,1.5593434543936038e+16,1.5593434543936034e+16,0
3,245000000.0,0,1718750.0,2200520.8333333335,0,4.023049426344968,4.162959732519262,0,0.0,762500.0,145351562500.0,190625.0,14535156250000.0,7200000.0,0.0,1,8,1,1.5575474641472196e+16,1.5575474641472196e+16,0
4,245000000.0,0,1328125.0,2130800.8148123478,0,4.568921823786078,5.504749365183861,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7209610.583244515,1.446096575818956e-10,1,8,1,1.5588025421295304e+16,1.5588025421295306e+16,0
5,245000000.0,0,1328125.0,2088858.5740691398,0,5.4503947956465755,6.504749365183861,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7209610.583244515,1.446096575818956e-10,1,8,1,1.557685011966412e+16,1.5576850119664116e+16,0
6,245000000.0,0,1337500.0,2069138.5555481538,0,6.335232838840185,7.494209936496078,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7209610.583244515,1.446096575818956e-10,1,8,1,1.558225129356237e+16,1.558225129356237e+16,0
7,245000000.0,0,1337500.0,2052673.745360502,0,7.053846163319366,8.494209936496077,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7209610.583244515,1.446096575818956e-10,1,9,1,1.5571258801215164e+16,1.5571258801215164e+16,0
8,245000000.0,0,1346875.0,2044481.9205839075,0,7.716576060659926,9.483817119540017,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7209781.808042611,3.483364707790315e-10,1,10,1,1.5576907241196118e+16,1.5576907241196116e+16,0
9,245000000.0,0,1346875.0,2036290.0958073135,0,8.535792271441487,10.483817119540017,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7209781.808042611,3.483364707790315e-10,1,10,1,1.5566073463101756e+16,1.5566073463101754e+16,0
10,245000000.0,0,1356250.0,2028098.2943961332,0,7.55065121442232,11.473567876220299,0,0.0,571874.7897112751,109013591702.46786,190625.0,10901359170246.787,7209782.64919751,4.0402592382804414e-10,1,10,1,1.5578046903300188e+16,1.557804690330019e+16,0
11,245000000.0,0,1356250.0,2019906.492984953,0,8.192061211260041,12.473567876220299,0,0.0,571874.7897112751,109013591702.46786,190625.0,10901359170246.787,7209782.64919751,2.2985768843852838e-10,1,10,1,1.556783244713551e+16,1.556783244713551e+16,0
12,245000000.0,0,1310900.3432977784,2000863.9971293276,0,7.193615151256271,13.463459251806457,0,0.0,757608.8856899698,143498785640.418,190625.0,14349878564041.8,7209782.64919751,2.2985768843852838e-10,1,11,1,1.5574660295378808e+16,1.5574660295378812e+16,0
13,245000000.0,0,1365625.0,1998601.2554681103,0,7.1302758614841615,14.463459251806457,0,0.0,571874.7897112751,109013591702.46786,190625.0,10901359170246.787,7223228.800196163,2.2985768843852838e-10,1,11,1,1.55685039614895e+16,1.5568503961489496e+16,0
14,245000000.0,0,1325166.247319084,1985487.8193624483,0,5.90874382371346,15.453488372093023,0,0.0,757608.8856899698,143498785640.418,190625.0,14349878564041.8,7223228.800196163,2.2985768843852838e-10,1,11,1,1.5576604988333036e+16,1.557660498833304e+16,0
15,245000000.0,0,1375000.0,1989790.7096118124,0,8.062549744115126,16.453488372093023,0,0.0,571874.7897112751,109013591702.46786,190625.0,10901359170246.787,7223228.800196163,5.568945304901263e-11,1,11,1,1.5565335235054048e+16,1.5565335235054048e+16,0
16,245000000.0,0,1339432.1513403894,1987788.3846172616,0,6.6008190049705115,17.443652440674907,0,0.0,757608.8856899698,143498785640.418,190625.0,14349878564041.8,7223228.800196163,5.568945304901263e-11,1,11,1,1.5574370687930862e+16,1.5574370687930864e+16,0
17,245000000.0,0,1384375.0,2002192.3096227108,0,8.96384503314741,18.443652440674907,0,0.0,571874.7897112751,109013591702.46786,190625.0,10901359170246.787,7223228.800196163,5.568945304901263e-11,1,11,1,1.5562212306667714e+16,1.5562212306667714e+16,0
18,245000000.0,0,1353698.055361695,2016215.586447957,0,7.2368572719384,19.433948736332677,0,0.0,757608.8856899698,143498785640.418,190625.0,14349878564041.8,7223228.800196163,5.568945304901263e-11,1,11,1,1.5572282703657064e+16,1.5572282703657068e+16,0
19,245000000.0,0,1393750.0,2039147.783640944,0,9.815968092516037,20.433948736332677,0,0.0,571874.7897112751,109013591702.46786,190625.0,10901359170246.787,7223228.800196163,5.568945304901263e-11,1,11,1,1.555914852161009e+16,1.5559148521610088e+16,0
20,245000000.0,0,1367963.9593830004,2048256.5697575037,0,7.852674273499322,21.424374610522566,0,0.0,757608.8856899698,143498785640.418,190625.0,14349878564041.8,7223228.800196163,5.568945304901263e-11,1,11,1,1.5570220894650164e+16,1.5570220894650164e+16,0
