t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
206,198932247.34910053,1,0.0,4665742.362033743,9252393238,44.72415377714484,206.4989041465378,1
207,198932247.34910053,1,0.0,4677563.710890711,9298460990,44.89080806306532,207.5002359559214,1
208,198932247.34910053,1,0.0,4684233.68801865,9344528743,45.057463698603364,208.50157489478588,1
209,198932247.34910053,1,0.0,4689847.894635815,9390596496,45.22412068162367,209.50292102053353,1
210,198932247.34910053,1,0.0,4695462.101252983,9436664248,45.390779010126586,210.50427439118445,1
211,198932247.34910053,1,0.0,4701076.30787015,9482732001,45.55743868224766,211.50563506538504,1
212,198932247.34910053,1,0.0,4706690.514487315,9528799753,45.724099696256985,212.50700310241635,1
213,198932247.34910053,1,0.0,4712304.721104482,9574867506,45.89076205055873,213.5083785622027,1
214,198932247.34910053,1,0.0,4717918.9277216485,9620935259,46.05742574369068,214.50976150532054,1
215,198932247.34910053,1,0.0,4723533.038627282,9667003011,46.22409080590006,215.51115199300716,1
216,198932247.34910053,1,0.0,4729147.149532915,9713070764,46.39075720403731,216.51255008716993,1
217,198932247.34910053,1,0.0,4734761.260438548,9759138517,46.55742493704344,217.51395585039535,1
218,198932247.34910053,1,0.0,4740375.371344183,9805206269,46.72409400399143,218.51536934595836,1
219,198932247.34910053,1,0.0,4745989.482249815,9851274022,46.890764404085836,219.51679063783203,1
220,198932247.34910053,1,0.0,4751603.593155447,9897341775,47.05743613666257,220.518219790697,1
221,198932247.34910053,1,0.0,4757217.704061082,9943409527,47.224109201188604,221.5196568699514,1
222,198932247.34910053,1,0.0,4762831.814966715,9989477280,47.390783597261795,222.5211019417208,1
223,198932247.34910053,1,0.0,4768445.925872347,10035545033,47.55745932461068,223.5225550728683,1
224,198932247.34910053,1,0.0,4774060.036777982,10081612785,47.724136383094354,224.52401633100501,1
225,198932247.34910053,1,0.0,4774118.592128059,10127680538,47.89081477270228,225.52548578450032,1
226,198932247.34910053,1,0.0,4774177.147478136,10173748291,48.057494493554294,226.52696350249272,1
227,198932247.34910053,1,0.0,4774235.702828214,10219816043,48.22417554590047,227.5284495549006,1
228,198932247.34910053,1,0.0,4774294.258178292,10265883796,48.39085793012118,228.52994401243322,1
229,198932247.34910053,1,0.0,4774352.813528369,10311951549,48.557541646727024,229.531446946602,1
230,198932247.34910053,1,0.0,4774411.3688784465,10358019301,48.724226696358905,230.53295842973188,1
231,198932247.34910053,1,0.0,4774469.924228525,10404087054,48.89091307978811,231.534478534973,1
232,198932247.34910053,1,0.0,4774528.479578602,10450154806,49.05760079791643,232.53600733631237,1
233,198932247.34910053,1,0.0,4774587.0349286795,10496222559,49.224289851776234,233.53754490858597,1
234,198932247.34910053,1,0.0,4774645.590278758,10542290312,49.390980242530695,234.53909132749098,1
235,198932247.34910053,1,0.0,4774704.145628835,10588358064,49.55767197147398,235.54064666959812,1
236,198932247.34910053,1,0.0,4774762.700978912,10634425817,49.72436504003147,236.5422110123643,1
237,198932247.34910053,1,0.0,4774821.256328991,10680493570,49.89105944976003,237.5437844341456,1
238,198932247.34910053,1,0.0,4774879.811679068,10726561322,50.05775520234831,238.54536701421014,1
239,198932247.34910053,1,0.0,4774938.367029145,10772629075,50.22445229961706,239.54695883275164,1
240,198932247.34910053,1,0.0,4774996.922379224,10818696828,50.391150743519525,240.54855997090274,1
241,198932247.34910053,1,0.0,4775055.477729301,10864764580,50.557850536141814,241.55017051074893,1
242,198932247.34910053,1,0.0,4775114.033079378,10910832333,50.724551679703325,242.55179053534252,1
243,198932247.34910053,1,0.0,4775172.588429456,10956900086,50.891254176557226,243.5534201287169,1
244,198932247.34910053,1,0.0,4775231.143779534,11002967838,51.05795802919091,244.55505937590118,1
245,198932247.34910053,1,0.0,4775289.699129611,11049035591,51.22466324022659,245.5567083629348,1
246,198932247.34910053,1,0.0,4775348.254479689,11095103344,51.39136981242178,246.55836717688274,1
247,198932247.34910053,1,0.0,4775406.809829767,11141171096,51.55807774866995,247.56003590585078,1
