policy,scenario,seed,theta,load_scale,V_nu,budget,goodput_mbps,its_fraction,claimed_its_fraction,mislabelled_fraction,mean_aos,mean_delay,mean_virt,mean_phys,phys_slope,final_lyap,manufactured_units,capability_units,manufacture_utilisation,qkd_units,qkd_expired_frac,unroutable
aos_tqd,nominal,0,0.25,1.0,0.0,781.25,24.94337903184354,0.7900893538131584,0.24940076981239784,0.0,65.88913915885178,2.84000972206453,31196.182833360162,29898.3151490433,0.10066070263178149,176915289.93475738,25926562.5,1215000000.0,0.021338734567901235,210224734.5746984,0.8081903351122323,0
aos_tqd,nominal,1,0.25,1.0,0.0,781.25,24.932670897961565,0.7935768424518233,0.24930739323025208,0.0,64.58893225846597,2.2475368700708263,30692.592859296932,28735.16021641221,0.06865330790813526,249350146.89902303,25001562.5,1215000000.0,0.020577417695473253,211307693.1855664,0.8091267817359685,0
aos_tqd,nominal,2,0.25,1.0,0.0,781.25,24.94704861111111,0.7905154128181076,0.24957552525864377,0.0,65.3892359637056,2.513744079704322,31806.31684960399,29606.540294341714,0.00042330796387170553,154681390.22611758,25434375.0,1215000000.0,0.020933641975308642,211056980.56281123,0.8087179775828646,0
aos_tqd,nominal,3,0.25,1.0,0.0,781.25,24.936053308376533,0.7906094815274701,0.24931278469021761,0.0,65.31663458883816,2.262616553095623,29938.632108478327,28688.597206075363,0.08695244562012851,239107815.29522234,25016406.25,1215000000.0,0.02058963477366255,210340685.52101672,0.8097290302019803,0
aos_tqd,nominal,4,0.25,1.0,0.0,781.25,24.93962280451858,0.7835978620357741,0.24947237202554434,0.0,67.94126825394673,3.160996835282754,31849.80713277099,30200.20935333642,0.015244327494657482,200823198.36297464,26873437.5,1215000000.0,0.022118055555555554,208627073.22188863,0.8074062512799649,0
aos_tqd,nominal,0,0.5,1.0,0.0,781.25,24.924111175539153,0.8422777450134868,0.4991473885760317,0.0,52.229694042968326,3.317323422509118,37475.81318422885,35507.96989789767,0.17065211752163098,354185136.49815655,26921875.0,1215000000.0,0.022157921810699588,210224734.5746984,0.8001684490248522,0
aos_tqd,nominal,1,0.5,1.0,0.0,781.25,24.904897117179186,0.8462969508384031,0.49889238114959916,0.0,50.6845717024387,2.376928280653857,37902.23741372519,35163.052445752,0.23460988771977279,540582804.4004798,25874218.75,1215000000.0,0.02129565329218107,211307693.1855664,0.8011118452470769,0
aos_tqd,nominal,2,0.5,1.0,0.0,781.25,24.935521778155707,0.840565034394026,0.49943460090875913,0.0,52.07168411493347,2.7728901541427082,37176.003462863366,34409.035862256744,0.014342615692774511,249150533.41441715,26627343.75,1215000000.0,0.02191550925925926,211056980.56281123,0.8010608323022828,0
aos_tqd,nominal,3,0.5,1.0,0.0,781.25,24.917722986550597,0.8443642547023161,0.4990606937954684,0.0,50.742964082198334,2.5825511033827664,33486.43536654924,31927.204571598122,0.1728751043338908,532940624.3094394,25596875.0,1215000000.0,0.02106738683127572,210340685.52101672,0.8015139303131704,0
aos_tqd,nominal,4,0.5,1.0,0.0,781.25,24.92194155463258,0.8366504966824718,0.4992430662423757,0.0,53.7602193028453,3.544377050948806,39158.08261826749,36974.12952277446,0.04993936419127049,421027174.9511874,27987500.0,1215000000.0,0.023034979423868313,208627073.22188863,0.7990959193108755,0
aos_tqd,nominal,0,0.75,1.0,0.0,781.25,24.87986466485086,0.9099165780920675,0.7490545198923911,0.0,36.748918398539296,4.818377560319049,51080.162546525884,48268.616998014266,0.2009190944574593,813322137.1445304,27838281.25,1215000000.0,0.022912165637860082,210224734.5746984,0.7894319274865675,0
aos_tqd,nominal,1,0.75,1.0,0.0,781.25,24.874201570359062,0.9135571356697256,0.7490979262606471,0.0,34.481099274298295,3.1211246333271143,48155.52022094608,44516.82065741084,0.3246322213453536,1010285340.7229335,25967187.5,1215000000.0,0.021372170781893005,211307693.1855664,0.7905717843838689,0
aos_tqd,nominal,2,0.75,1.0,0.0,781.25,24.916383219954646,0.9118996833703051,0.7495065695921734,0.0,35.36890310009979,3.8253508209187927,49080.61024432028,45093.302307559396,-0.02343363703454097,455369543.839652,26363281.25,1215000000.0,0.021698173868312756,211056980.56281123,0.7898916147214244,0
aos_tqd,nominal,3,0.75,1.0,0.0,781.25,24.88329913969193,0.9146098994736318,0.7491414838138186,0.0,33.04107179704916,3.6652073873508857,43498.92925552953,40981.62511873462,0.2852107647665548,1323213814.3117855,24411718.75,1215000000.0,0.020091949588477365,210340685.52101672,0.7907396642987576,0
