t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow
0,0.0,0,2500000.0,2500000.0,245000000,0.0,0.0,0,1.5625e+16,0.0,0.0,0.0,7812500000000000.0,7200000.0,0.0
1,0.0,0,2500000.0,2500000.0,490000000,0.0,0.0,0,6.25e+16,0.0,0.0,0.0,3.125e+16,7200000.0,0.0
2,0.0,0,2500000.0,2500000.0,735000000,0.0,0.0,0,1.40625e+17,0.0,0.0,0.0,7.03125e+16,7200000.0,0.0
3,0.0,0,2500000.0,2500000.0,980000000,0.0,0.0,0,2.5e+17,0.0,0.0,0.0,1.25e+17,7200000.0,0.0
4,0.0,0,2500000.0,2502041.776404349,1225000000,0.0,0.0,0,3.90625e+17,0.0,0.0,0.0,1.953125e+17,7273503.950556569,0.0
5,0.0,0,2500000.0,2504083.5528086983,1470000000,0.0,0.0,0,5.625e+17,0.0,0.0,0.0,2.8125e+17,7273503.950556569,0.0
6,0.0,0,2500000.0,2506125.3292130474,1715000000,0.0,0.0,0,7.65625e+17,0.0,0.0,0.0,3.828125e+17,7273503.950556569,0.0
7,0.0,0,2500000.0,2508167.1056173965,1960000000,0.0,0.0,0,1e+18,0.0,0.0,0.0,5e+17,7273503.950556569,0.0
8,0.0,0,2500000.0,2510208.8820238924,2205000000,0.0,0.0,0,1.265625e+18,0.0,0.0,0.0,6.328125e+17,7273503.950633861,0.0
9,0.0,0,2500000.0,2512250.6584303887,2450000000,0.0,0.0,0,1.5625e+18,0.0,0.0,0.0,7.8125e+17,7273503.950633861,0.0
10,640000000.0,1,0.0,2237015.085834942,2055000000,70.21414980118627,130.0,2,8.92225e+17,9158744.165700559,20970918800813.152,2300000.0,4.4820959188008134e+17,7291519.386563904,0.0
11,0.0,0,200000.0,2261779.5132394945,2300000000,0.0,0.0,0,1.1236e+18,8317488.331401117,17296233546247.023,2100000.0,5.635296233546247e+17,7291519.386563904,9.094947017729282e-13
12,0.0,0,400000.0,2286543.940644047,2545000000,0.0,0.0,0,1.386225e+18,7476232.497101676,13975944236301.611,1900000.0,6.945100944236302e+17,7291519.386563904,0.0
13,420000000.0,0,600000.0,2220162.534715267,2370000000,2.1200145627740614,2.32456777567921,0,1.5037e+18,9497850.675143769,15108243514708.389,1700000.0,7.533608243514708e+17,7291519.386563904,8.094502845779061e-11
14,0.0,0,800000.0,2256038.0732309315,2615000000,0.0,0.0,0,1.803625e+18,8238218.853185863,11387014100457.506,1500000.0,9.029512014100457e+17,7291519.386563904,2.2737367544323206e-11
15,0.0,0,1000000.0,2291913.6117465952,2860000000,0.0,0.0,0,2.1348e+18,6978587.0312279565,8195556774798.96,1300000.0,1.06821955567748e+18,7291519.386563904,2.2737367544323206e-11
16,0.0,0,1200000.0,2327789.150262259,3105000000,0.0,0.0,0,2.497225e+18,5718955.209270051,5533871537732.754,1100000.0,1.2491658871537733e+18,7291519.386563904,2.2737367544323206e-11
17,478400000.0,1,0.0,2182067.466555701,2871600000,34.925962827551736,137.0,2,2.17346256e+18,10996823.387312144,21952315258802.348,2300000.0,1.0889265115258802e+18,7291519.386563904,2.2737367544323206e-11
18,0.0,0,200000.0,2217943.0050713653,3116600000,0.0,0.0,0,2.51950756e+18,9737191.565354237,17602430374452.566,2100000.0,1.2615140230374454e+18,7291519.386563904,9.094947017729282e-13
19,0.0,0,400000.0,2253818.543587029,3361600000,0.0,0.0,0,2.89680256e+18,8477559.743396332,13782317578695.129,1900000.0,1.4497795117578696e+18,7291519.386563904,4.282864247920343e-77
20,0.0,0,600000.0,2289694.0821026927,3606600000,0.0,0.0,0,3.30534756e+18,7217927.921438426,10491976871530.027,1700000.0,1.653722977687153e+18,7291519.386563904,8.094502845779061e-11
