study,horizon_s,weight_variant,k_max_bits,aos_T_a,load_scale,scheduler,n_seeds,mean_aos,goodput_mbps,active_overflow_frac,queue_slope_bits_per_cycle,chi_prime,mean_queue_bits,cg_mean_iters,cg_gap_frac,cg_gap_max,cg_nonconverged,greedy_aos,greedy_goodput_mbps,greedy_queue_bits
E,3600,drift,5000000.0,300.0,1.0,aos_cg,1,1.042492436662273,245.0,0.052256971976446014,,,,,,,,,,
E,3600,drift,50000000.0,300.0,1.0,aos_cg,1,0.8717312875537563,245.0,0.016470545364688158,,,,,,,,,,
E,3600,drift,500000000.0,300.0,1.0,aos_cg,1,0.8716866766943273,245.0,2.2006762245682466e-15,,,,,,,,,,
E,3600,drift,5000000000.0,300.0,1.0,aos_cg,1,0.8716866766943273,245.0,2.2006762245682466e-15,,,,,,,,,,
F,600,drift,500000000,300.0,1.0,aos_cg,3,67.67277945779357,245.0,6.916571318044074e-16,,0.005,0.0,,,,,,,
F,600,drift,500000000,300.0,1.0,aos_cg,3,67.66682365799166,245.0,6.909180932909335e-16,,5.0,0.0,,,,,,,
F,600,drift,500000000,300.0,1.0,aos_cg,3,12.32953173837427,245.0,1.0706828731582795e-15,,500.0,0.0,,,,,,,
F,600,drift,500000000,300.0,1.0,aos_cg,3,2.0711088476649127,245.0,9.490475831096102e-16,,5000.0,0.0,,,,,,,
F,600,drift,500000000,300.0,1.0,aos_cg,3,13.817478666639248,245.0,9.383632793406063e-16,,50000.0,0.0,,,,,,,
F,600,drift,500000000,300.0,1.0,aos_cg,3,14.363496936082965,245.0,7.360147828178511e-16,,500000.0,16286825.409999998,,,,,,,
F,600,drift,500000000,300.0,1.0,aos_cg,3,24.12743495152473,244.45198779354897,7.883554790919521e-16,,5000000.0,1040782498.5049998,,,,,,,
F,600,drift,500000000,300.0,1.0,aos_cg,3,21.546559231377895,236.0160457454501,8.088222919954894e-16,,50000000.0,5741407354.383332,,,,,,,
G,600,drift,500000000,300.0,0.5,aos_cg,3,0.9133032293680031,122.5,,,,0.0,1.0,-2.9914342607955605e-17,2.9605947323337506e-16,0.0,0.9133032293680031,122.5,0.0
G,600,drift,500000000,300.0,1.0,aos_cg,3,2.0711088476649127,245.0,,,,0.0,1.0,-2.2266139549426752e-17,3.3306690738754696e-16,0.0,2.083232220405994,245.0,0.0
