t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow
20,0.0,0,600000.0,2259882.968003615,3576600000,0.0,0.0,0,3.30084756e+18,7871992.637948019,11776783721770.285,1700000.0,1.6516014583721772e+18,7253918.717462234,4.862670266447822e-10
21,0.0,0,800000.0,2294714.0434886767,3821600000,0.0,0.0,0,3.73884256e+18,6655051.602773892,8824257164793.37,1500000.0,1.8703037057164792e+18,7253918.717462234,4.862670266447822e-10
22,120000000.0,0,1000000.0,2303503.452307072,3946600000,1.2354345271802845,1.2455025909504622,0,4.19368756e+18,6375610.567599764,7213525422802.643,1300000.0,2.0975651325422802e+18,7253918.717462234,4.862670266447822e-10
23,0.0,0,1200000.0,2338334.5277921343,4191600000,0.0,0.0,0,4.68698256e+18,5158669.532425636,4872060830924.688,1100000.0,2.3439784860830925e+18,7253918.717462234,4.862670266447822e-10
24,358400000.0,1,0.0,2217610.047721641,4078200000,71.14529482660123,144.0,3,4.26363124e+18,9541728.497251509,20305985565005.71,2300000.0,2.1338462185565005e+18,7253918.717462234,4.862670266447822e-10
25,0.0,0,200000.0,2253603.670130436,4323200000,0.0,0.0,0,4.74774624e+18,8314324.539763782,16629745986040.633,2100000.0,2.3755360945986043e+18,7295770.406716629,1.0126495197937402e-09
26,120000000.0,0,400000.0,2263555.625872565,4448200000,1.0237726109046914,1.0324906966851675,0,5.24871124e+18,8024420.582276056,13676764313335.809,1900000.0,2.6257232964313334e+18,7295770.406716629,1.1379839293113037e-09
27,1280684857.4469223,2,0.0,2021905.0989977089,3412515142,92.07323858185369,120.0,3,4.277615460316167e+18,15975074.612521214,31689207109266.957,2300125.9587033475,2.1419766508690102e+18,7305931.481309274,1.6402008640170607e-09
28,0.0,0,200008.9970505318,2080403.6294869015,3657515142,0.0,0.0,0,4.765045180983632e+18,14020080.185084423,25515284168524.836,2100116.961652816,2.3850741189086684e+18,7305947.097610945,1.0008260886706921e-09
29,194316377.6487947,1,0.0,2074094.7043993606,3708198765,20.741648576537212,120.0,1,5.169679673315049e+18,13654025.604562452,21937200319928.5,2300000.0,2.5870335566895176e+18,7305947.097610945,1.0379395121162815e-09
30,0.0,0,202540.26864816117,2132593.2348885536,3953198765,0.0,0.0,0,5.705864083770611e+18,11129104.787854688,16855852754004.072,2097459.731351839,2.8546176271607055e+18,7305947.097610945,9.426184277572247e-10
31,462100617.54785854,2,0.0,2013031.7355279508,3736098147,62.48999030525519,151.0,4,4.98020283284724e+18,15878833.45460285,32473018511884.7,2300000.0,2.4933487182748083e+18,7305947.097610945,8.966889453176918e-10
32,274349691.22607076,0,200000.0,2011992.5726087082,3706748456,2.901367977564903,6.812328745315284,0,5.456826385243824e+18,15967482.286521355,30900144884197.676,2100000.0,2.731503207110332e+18,7305947.097610945,8.88048745650849e-10
33,103700617.54785852,1,0.0,2047986.776307635,3848047839,62.55824544337984,120.0,1,5.896742337707279e+18,14823294.733317757,27816629473304.78,2300000.0,2.95115283180097e+18,7305952.407754015,5.292530858014288e-10
34,0.0,0,202540.26864816117,2106485.454300802,4093047839,0.0,0.0,0,6.455037164793879e+18,13170327.52649128,22053998464736.12,2097459.731351839,3.229723982243413e+18,7305952.407754015,6.915978900678965e-10
35,193700617.54785854,1,0.0,2100443.933705489,4144347221,20.759845627044353,120.0,1,6.945972605205462e+18,12794646.384249112,18829390089931.746,2300000.0,3.4748692416117243e+18,7305952.407754015,6.129265983645382e-10
36,0.0,0,202540.26864816117,2158942.611698656,4389347221,0.0,0.0,0,7.553071382888233e+18,10274536.193329912,14117103249742.52,2097459.731351839,3.7779474017690906e+18,7305952.407754015,4.69681182835302e-10
37,103700617.54785852,1,0.0,2195220.384876776,4530646603,61.2683909007975,120.0,1,8.105826311247944e+18,9424115.392588085,12998588628432.34,2300000.0,4.054213014486815e+18,7316160.909004961,4.324647306930274e-10
38,598400000.0,1,0.0,2046363.743460247,4177246603,29.939537650564343,158.0,1,7.298914959526886e+18,14839300.356105901,28064275112803.477,2300000.0,3.6522639072747233e+18,7316160.909004961,3.0377123039215803e-10
39,103700617.54785852,1,0.0,2082641.5166383672,4318545986,61.26832380478773,120.0,1,7.826209375834726e+18,13695112.802902304,25136149172473.27,2300000.0,3.9156183028346107e+18,7316160.909004961,3.510649548843503e-10
40,60000000.0,0,202540.26864816117,2128402.930777394,4503545986,0.6389358368938939,0.6437548067920948,0,8.45353605470984e+18,12104047.766420122,19852284241489.88,2097459.731351839,4.228753255779069e+18,7316160.909004961,3.3651303965598345e-10
41,103700617.54785852,1,0.0,2164680.703955514,4644845368,61.268256715876134,120.0,1,9.036349958965808e+18,11194235.213216525,18011376523006.867,2300000.0,4.519976117135205e+18,7316160.909004961,5.816218617837876e-10
42,701491983.0213497,1,0.0,2071877.010243271,4188353385,39.180644439300366,120.0,1,7.367377025725953e+18,14207263.653431786,24371038057109.754,2304093.476697445,3.6861256166686874e+18,7339473.143713549,3.0377123039215803e-10
43,375798920.04112357,2,0.0,1942766.1242553543,4057554465,31.50478028184154,120.0,2,7.16746393416356e+18,18453701.852205396,30410944489495.133,2303978.480161959,3.58677306153073e+18,7339473.143713549,3.178683982696384e-10
44,315383966.0426992,1,0.0,1967086.566172159,3987170499,27.955146016537867,120.0,2,7.511572954037521e+18,17636770.837723106,28854432126990.16,2312280.4300923343,3.75867192023146e+18,7339473.143713549,3.54702933691442e-10
45,206988723.52146602,2,0.0,1970100.37409895,4025181775,31.8049571861121,120.0,2,7.842067395349494e+18,17926720.05556724,29929741494135.668,2303978.480161959,3.9240266718241603e+18,7339473.143713549,2.423803380224854e-10
46,165383966.04269922,1,0.0,2025139.0462162138,4104797809,42.79116811417101,120.0,2,8.253817746512308e+18,15937914.04108495,26671875632115.92,2320467.3834872236,4.129576060819366e+18,7339473.143713549,2.332853910047561e-10
47,206988723.52146602,2,0.0,2000092.8242932095,4142809085,30.170479975968696,120.0,2,8.147724786830479e+18,16413279.81061346,27415917862498.92,2303978.480161959,4.0766039852014894e+18,7339473.143713549,2.3737811716273427e-10
