t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow
0,0.0,0,2500000.0,2500000.0,245000000,0.0,0.0,0,1.5625e+16,0.0,0.0,0.0,7812500000000000.0,7200000.0,0.0
1,0.0,0,2500000.0,2500000.0,490000000,0.0,0.0,0,6.25e+16,0.0,0.0,0.0,3.125e+16,7200000.0,0.0
2,0.0,0,2500000.0,2500000.0,735000000,0.0,0.0,0,1.40625e+17,0.0,0.0,0.0,7.03125e+16,7200000.0,0.0
3,0.0,0,2500000.0,2500000.0,980000000,0.0,0.0,0,2.5e+17,0.0,0.0,0.0,1.25e+17,7200000.0,0.0
4,0.0,0,2500000.0,2500266.9606456812,1225000000,0.0,0.0,0,3.90625e+17,0.0,0.0,0.0,1.953125e+17,7209610.583244515,0.0
5,0.0,0,2500000.0,2500533.921291362,1470000000,0.0,0.0,0,5.625e+17,0.0,0.0,0.0,2.8125e+17,7209610.583244515,0.0
6,0.0,0,2500000.0,2500800.881937043,1715000000,0.0,0.0,0,7.65625e+17,0.0,0.0,0.0,3.828125e+17,7209610.583244515,0.0
7,0.0,0,2500000.0,2501067.842582724,1960000000,0.0,0.0,0,1e+18,0.0,0.0,0.0,5e+17,7209610.583244515,0.0
8,0.0,0,2500000.0,2501339.5594727965,2205000000,0.0,0.0,0,1.265625e+18,0.0,0.0,0.0,6.328125e+17,7209781.808042611,6.96672941558063e-10
9,0.0,0,2500000.0,2501611.276362869,2450000000,0.0,0.0,0,1.5625e+18,0.0,0.0,0.0,7.8125e+17,7209781.808042611,6.96672941558063e-10
10,640000000.0,1,0.0,2224105.2388405777,2055000000,118.21980740531689,130.0,4,8.92225e+17,9195108.88568997,21137512834644.98,2300000.0,4.482262512834645e+17,7209782.64919751,7.523623946070757e-10
11,0.0,0,200000.0,2246599.2013182864,2300000000,0.0,0.0,0,1.1236e+18,8390217.77137994,17598962481680.215,2100000.0,5.63559896248168e+17,7209782.64919751,3.90103560565791e-10
12,0.0,0,400000.0,2269093.1637959946,2545000000,0.0,0.0,0,1.386225e+18,7585326.657069909,14384348941105.709,1900000.0,6.945509348941106e+17,7209782.64919751,4.0402592382804414e-10
13,420000000.0,0,600000.0,2200814.797134777,2370000000,2.2881403973911496,2.3155208939183023,0,1.5037e+18,9655878.552999564,15627758885096.129,1700000.0,7.534127758885096e+17,7223228.800196163,5.20441245654979e-10
14,0.0,0,800000.0,2234793.374918004,2615000000,0.0,0.0,0,1.803625e+18,8445180.448929217,11976485012378.219,1500000.0,9.030101485012378e+17,7223228.800196163,5.19531750953206e-10
15,0.0,0,1000000.0,2268771.952701231,2860000000,0.0,0.0,0,2.1348e+18,7234482.34485887,8813828104201.977,1300000.0,1.0682813828104202e+18,7223228.800196163,3.4536351556369027e-10
16,0.0,0,1200000.0,2302750.5304844575,3105000000,0.0,0.0,0,2.497225e+18,6023784.240788523,6139788160567.402,1100000.0,1.2492264788160568e+18,7223228.800196163,3.4536351556369027e-10
17,358400000.0,1,0.0,2181173.5527121285,2991600000,92.76838165109206,137.0,4,2.18786256e+18,10413086.136718176,21764804220929.816,2300000.0,1.0961077604220929e+18,7223228.800196163,2.2985768843852838e-10
18,150000000.0,0,200000.0,2182600.047162022,3086600000,1.535242080607341,1.5448707001624864,0,2.51860756e+18,10374263.03264783,19492833041120.773,2100000.0,1.261253063304112e+18,7223228.800196163,2.1593532517627523e-10
19,0.0,0,400000.0,2216578.624945249,3331600000,0.0,0.0,0,2.89410256e+18,9163564.928577483,15555393804917.752,1900000.0,1.4486068193804918e+18,7223228.800196163,2.2985768843852838e-10
